Player Name,Leave/Join,Time
sidgamer121,Left,30-04-2023 10:37:52
sidgamer121,Joined,30-04-2023 10:38:12
sidgamer121,Left,30-04-2023 10:39:04
sidgamer121,Joined,30-04-2023 10:39:24
